Include this line!	2	3	4	5	6
fPM,sand 	1	0.025	0.004	0.001	
fPM,depo 	1	1	0.2	0.04	
fPM,fugitive 	1	1	0.28	0.0224	
fPM,exhaust 	1	1	1	1	
fPM,salt(1) 	1	1	0.28	0.0224	
fPM,salt(2) 	1	1	0.28	0.0224	
fPM,crushing 	1	0.1	0.02	0.003	
fPM,abrasion 	1	1	0.28	0.0224	
Reference speed Vref,PM-fraction (km/hr)	50				
cPM-fraction (km/hr)-1	0				
Wind blown dust emission factors					
Parameter	Value				
twind (hr)	12				
FFthresh (m/s)	5				
Activity efficiency factors for dust and salt					
Efficiency parameter dust	PMall - PM200	PM200 - PM10	PM10 - PM2.5	PM2.5	
hploughing-eff	0.5	0.01	0.01	0.01	
hcleaning-eff	0.5	0.001	0.001	0.001	
hdrainage-eff	0.05	0.005	0.005	0.005	
hspraying-eff	0.1	0.1	0.1	0.1	
Efficiency parameter salt	Salt(1)	Salt(2)			
hploughing-eff	0.3	0.3			
hcleaning-eff	0.2	0.2			
hdrainage-eff	1	1			
hspraying-eff	1	1			
Deposition velocity					
	PM200 - PM10	PM10 - PM2.5	PM2.5		
wx (m/s)	0.003	0.001	0.0005		
Concentration conversion limit values					
Parameter	Value				
NOX,concentration-min (µg/m3)	5				5
NOX,emission-min (g/km/hr)	50				50
					
MOISTURE SUB-MODEL PARAMETERS					
Spray and splash factors					
Parameter	Water	Snow	Ice		
f0,spray (veh-1) (he)	1.20E-04	1.20E-04	1.20E-05		
f0,spray (veh-1) (li)	2.00E-05	2.00E-05	2.00E-06		
Vref,spray  (km/hr)	80	80	80		
groad,sprayable-min (mm)	0.05	0.05	0.05		
Power law factor for spray aspray	3	3	3		
Vthresh,spray  (km/hr)	10	10	10		
Drainage parameters					
Parameter	Value (min all types)	Val (thresh for type 3)			
gdrainable (mm)	0.6	0.2			
Snow retainment limit (mm)	2				
Drainage time scale(hr)	12				
Ploughing parameters					
Parameter	Water	Snow	Ice		
Ploughing efficiency for snow removal	0.5	0.8	0.3		
Ploughing threshold (mm)	100	3	3		
Energy balance parameters					
Parameter	Value				
groad,evap-thresh  (mm)	0.02				
Roughness length (mm)	10				10
Snow albedo	0.4				
Suburface slab depth (m)	0				
Suburf temperature average time (h)	48				
Subsurface parameters 	ρs (kg/m3)	cs (J/kg/K)	ks (W/m/K)		
Subsurface parameters 	2400	800	2		
Traffic turbulent exchange and heat flux	Heavy (he)	Light (li)			
atraffic  (veh-1)	1.00E-02	1.00E-03			
Hveh  (W m-2 veh-1)	1.50E+02	5.00E+01			
Retention parameters					
Parameter	Road	Brake	Dust binder (g/m2)		
gretention-thresh (mm)	0.03	0.5	250		
gretention-min (mm)	0.01	0.1	50		
OSPM parameters					
f_roof and f_turb	0.4	0.4			
INTER-TRACK AND SHARED SUB-MODEL PARAMETERS					
Surface texture parameters					
Adjusted parameter	texture_scaling(i)	Master texture scaling			
gdrainable (mm)	1	1			
f0,suspension(veh-1)	1				
f0,spray (veh-1)	1				
hdrainage-eff (dust)	1				
hspraying-eff (dust)	1				
Road track parameters					
Track type	Include which tracks	Fraction road area	Fraction vehicles	Migration factor (1/veh)	
falltrack 	1	1	1	0.01	
fouttrack	0	0.9	0.9	0.01	
fintrack	0	0.1	0.08	0.01	
fshoulder	0	0	0.01	0.01	
fkerb	0	0	0.01	0.01	
Track type	Suspension rescaling	Spray rescaling	None	None	
falltrack 	1	1	0	0	
fouttrack	1	1	0	0	
fintrack	100	100	0	0	
fshoulder	0.1	1	0	0	
fkerb	0.1	1	0	0	
